Rank,Player,PlayerID,Overall Rating,Games Played,FvA Rating,GvI Rating,ChangeRank,ChangeGames,ChangeRating,Last Game Date
1,Theoneandonly,99646,515.7407114458813,335,544.9740920771975,447.04226696228807,0,7,-5.906488142605781,2020-02-24
2,RoganJosh,54642,505.35665786411715,113,564.9218855354235,306.0422421947462,0,0,0.0,2019-12-25
3,quarryman,44661,449.7101018738621,265,518.7317661223088,218.88355258397473,1,0,0.0,2019-12-05
4,badivan1,90932,445.2347520793589,178,484.15413383550816,339.82809315645443,2,7,26.88745292689964,2020-02-24
5,genghiz,64274,434.2191092220863,90,475.1631322546962,191.7045112597044,0,0,0.0,2019-12-03
6,90kicvesb,103248,413.9368238159297,132,419.46935096314695,404.25490130829957,1,1,5.701572256829195,2020-02-25
7,Roadhog,80549,398.39865514639166,1425,409.41803164433543,384.1320227722423,3,39,37.58877180040594,2020-02-27
8,Bob Al Hubob,55540,388.69007720282815,404,421.82033555265866,313.8798164128883,0,5,2.0110059151065798,2020-02-27
9,Foxcastle,92993,388.60690541416443,231,407.8615453994737,318.90510866734496,0,12,26.534528372264674,2020-02-27
10,michaelf77,62430,350.2003841963851,527,355.6003079041106,342.2399332845268,1,0,0.0,2019-10-07
11,captainmeme,41379,339.57666986791276,57,343.53948073230424,117.65926146198677,2,0,0.0,2020-01-20
12,breaca,62512,337.71677700529034,262,294.50480630835096,388.850942330002,2,0,0.0,2019-09-13
13,whaskell,41053,310.482020710979,460,280.8647803196771,374.1793733333681,2,3,10.025308860530004,2020-02-25
14,raiku770,75142,292.47950610216054,81,312.8183273469671,262.8957661097146,4,3,13.601124398203808,2020-02-28
15,swordsman3003,36106,283.2412077871091,112,291.0747644280439,263.657316184772,2,0,0.0,2019-12-01
16,mokkacreme,92870,262.71751704927516,125,309.0098863401477,197.73015246785795,3,0,0.0,2019-12-14
17,VillageIdiot,44663,261.09600699614623,28,283.0201306942296,129.5512648076463,3,0,0.0,2019-10-26
18,nguyenmt,98662,256.83906352562025,94,276.0773990686708,228.48783219901955,4,1,9.343963163222412,2020-02-14
19,teccles,106157,249.69464054910102,44,268.1645358524967,205.6510440563882,2,0,0.0,2020-01-06
20,GEN.NEDROW,94936,242.37491379669328,23,235.24247798487534,248.9129799575264,3,0,0.0,2019-10-29
21,BananaFang,19363,241.5843383746069,32,280.6234559402176,141.81770459582398,3,0,0.0,2020-01-16
22,AKeeFa,76670,237.3501966507015,24,188.8753117737142,257.3104433647551,14,14,52.39174594935744,2020-03-01
23,yuuki,108822,228.91954904603136,27,272.3715129699449,155.05121037537836,2,0,0.0,2019-09-26
24,czechveck,12871,228.67061432341913,56,235.19446546899755,221.1430937708286,2,0,0.0,2020-01-17
25,Toljok,85024,219.13063460214008,58,207.04737198073607,235.0805412623933,2,1,-8.011252544361184,2020-02-25
26,Garagenpunk,76340,218.43555941049038,69,240.44264050347363,182.03923298747966,2,0,0.0,2019-11-29
27,Riche_Lieu,108753,217.85773947110772,19,236.0814872749319,166.83124562040007,2,0,0.0,2019-12-08
28,bo_sox48,38739,213.81211541009938,45,213.81211541009938,None,2,0,0.0,2019-12-19
29,peaceinourtime,53717,213.03006546014848,564,249.7704117107825,183.35517041155947,2,0,0.0,2019-12-02
30,KalelChase,30452,203.15138279754606,31,230.67619076673748,159.57043684632634,2,0,0.0,2020-01-23
31,Your Humble Narrator,38075,197.727896919677,28,207.96919564548045,167.0040007422666,2,0,0.0,2019-10-20
32,Jrod1,109171,195.04713431365573,14,202.8930647097469,93.05003916447052,3,0,0.0,2019-11-12
33,Matticus13,76139,180.23212121056198,16,180.23212121056198,None,4,0,0.0,2019-11-07
34,jwoelmer2,94380,175.64678138611905,47,163.89929751593976,185.98456719187686,4,0,0.0,2019-11-19
35,JEccles,14128,168.34544398579143,24,168.34544398579143,None,278,5,72.51864269795675,2020-02-20
36,Fawaaz10,79377,164.85602576884446,27,154.5782889465632,177.703196796696,3,0,0.0,2019-11-07
37,Wadatumi,83311,163.67189113058697,63,158.55175859780203,170.9582335810886,4,0,0.0,2019-12-23
38,Nolsey,107629,160.28811887105158,11,166.41826369294645,132.70246717252462,4,2,-1.5571343622034135,2020-02-26
39,RayJay,98441,160.13034051483322,8,166.43467487409512,116.0,4,0,0.0,2019-12-23
40,Ruisdael,29626,159.6726050030713,13,172.21679068827348,151.83248894982,New Entry,New Entry,New Entry,2020-02-29
41,Obscurity,13217,159.35265758388036,24,192.9831039077178,92.09176493620548,New Entry,New Entry,New Entry,2020-02-19
42,sir mc fluffles,84303,157.75214588118033,35,101.5215402146664,242.09805438095125,2,0,0.0,2019-11-22
43,DollarMenuDino,101952,156.63299338136397,19,170.62781045916847,132.64187839084198,2,0,0.0,2019-09-07
44,Bonaparte23,46942,155.71363699325622,11,181.38095275917837,134.32420718832108,2,0,0.0,2019-12-21
45,Hydra07,102092,155.48016089047468,15,160.58588666836573,84.0,2,0,0.0,2019-10-22
46,limited,104474,152.31482752970726,30,165.18489387394382,122.28467272648857,2,0,0.0,2019-11-04
47,Reese Zore00,112987,151.88687504567628,2,None,151.88687504567628,2,0,0.0,2020-01-03
48,lordfarquaad,89772,151.6459937980989,13,155.35186663293908,131.263693206478,2,0,0.0,2019-10-19
49,TheCortex,78157,149.3629959841489,9,165.37741464391917,117.33415866460837,2,0,0.0,2019-10-07
50,bigchungus69,105362,147.48163670653082,8,158.22095120654842,115.26369320647801,2,0,0.0,2020-01-22
51,Engage_with_Zorp,110490,147.44461737154484,4,157.92615649539312,116.0,2,0,0.0,2019-11-30
52,Restitution,104705,146.84378018467984,3,146.84378018467984,None,25,1,15.313588843122204,2020-02-25
53,zyy,105081,146.1578677478959,6,146.1578677478959,None,1,0,0.0,2019-11-28
54,Happydude121,106456,146.12983544928585,10,136.65886996943925,160.33628366905577,New Entry,New Entry,New Entry,2020-02-22
55,New England Fire Squad,96423,144.4349589050895,96,156.5557041226842,40.19655003377494,0,0,0.0,2019-12-12
56,gianluc,111450,144.25547575989094,7,158.8043803660057,107.88321424460406,16,3,12.149738568409532,2020-02-26
57,House Mootoo,94411,143.28290702484924,10,173.22001535972078,98.37724452254191,-1,0,0.0,2019-10-30
58,Wintogreen,109697,142.89466291023714,21,134.9639982830644,162.72132447816904,128,3,27.44571105195699,2020-02-14
59,SteelNeptune,81242,139.3419191318248,2,None,139.3419191318248,-1,0,0.0,2019-09-12
60,wpfieps,36975,139.3072531305091,4,146.16787439563205,118.72538933514024,-1,0,0.0,2019-10-21
61,adityapgupta211,109891,137.86579075373027,11,139.33292354200856,131.263693206478,0,0,0.0,2019-11-10
62,ImprobableImprov,112255,137.81448458094223,4,116.0,145.0859794412563,0,0,0.0,2019-12-28
63,boolok,113670,137.65349828679973,5,143.06687285849966,116.0,97,4,21.65349828679973,2020-02-20
64,hhgttg42,109150,137.03425206105607,7,144.3368310436092,93.21877816573728,-1,0,0.0,2020-01-18
65,PatCleburne,87248,136.6968685000714,20,135.77353505350305,141.9290913639586,-1,0,0.0,2020-01-12
66,JF1981,111005,135.2179542718236,16,140.79451498527405,118.48827213147227,38,1,10.656570895103172,2020-02-25
67,Rooftopterrace,110286,134.9385497546853,2,134.9385497546853,None,1,0,0.0,2019-10-19
68,Jackaroo95,110846,133.92831910582817,15,189.61298096244724,85.20423998128649,1,0,0.0,2019-12-03
69,bobbytang,106851,133.82144733649204,8,80.6253346316478,165.7391149593986,1,0,0.0,2020-01-01
70,Miguel1612,67676,132.2134161629481,14,132.2134161629481,None,1,0,0.0,2019-11-17
71,Chanakya.,42942,131.75224371927467,16,94.10331023675305,180.15801533965964,4,0,0.0,2019-12-03
72,Phosorus,112004,131.263693206478,2,131.263693206478,None,6,0,0.0,2019-12-17
73,Eki83,113435,131.08454782910206,4,131.263693206478,130.9054024517261,7,0,0.0,2020-01-30
74,CommanderVader,108575,130.53049847102452,2,None,130.53049847102452,7,0,0.0,2019-10-17
75,BrandonDG,111478,130.53049847102452,2,130.53049847102452,None,7,0,0.0,2019-11-24
76,Will.cowden1,77882,130.53049847102452,4,130.53049847102452,130.53049847102452,7,0,0.0,2019-11-23
77,Atteam526,108800,130.53049847102452,2,None,130.53049847102452,7,0,0.0,2020-01-12
78,Bean2,113586,129.46861036156182,6,145.80347545972262,113.13374526340102,-2,2,-2.163236241677197,2020-02-12
79,Pleiades,104719,129.06744056369743,7,139.39481998398512,115.2976013366472,7,0,0.0,2019-12-27
80,strychnos,106143,128.85543149781466,10,132.56963601084433,126.37929515579489,7,0,0.0,2019-09-12
81,Yaniv,7728,128.01434961544197,13,132.24350905012366,113.91715149983641,7,0,0.0,2019-11-17
82,FSOT1969,100188,127.87479873372386,7,159.72952611935403,85.40182888621699,7,0,0.0,2019-11-07
83,mobius,112250,127.82086498729551,7,127.82086498729551,None,-26,2,-12.144940467830637,2020-02-08
84,Corix,109817,127.42792192469467,3,127.42792192469469,None,7,0,0.0,2019-12-23
85,djruschy,103619,127.10466505735847,1,None,127.10466505735847,7,0,0.0,2019-12-12
86,chipotle93,114004,126.54973833468516,3,126.54973833468516,None,New Entry,New Entry,New Entry,2020-02-15
87,Fylkir,76404,126.44551327031759,3,131.263693206478,116.80915339799677,7,0,0.0,2019-11-20
88,JoJoBa,78967,126.17579547098534,3,116.0,131.263693206478,8,0,0.0,2019-11-25
89,Ferdack,107562,126.17579547098534,3,131.263693206478,116.0,8,0,0.0,2019-12-15
90,BunnyGo,108583,126.06001059063678,11,130.45096017817576,82.15051471524679,8,0,0.0,2019-12-04
91,Figgy,111297,125.68699898068301,3,116.0,130.53049847102452,8,0,0.0,2020-01-10
92,K^2,111035,125.68699898068301,3,130.53049847102452,116.0,8,0,0.0,2019-12-27
93,Levin&eacute;,105735,125.48138376395664,8,147.79043947024084,88.29962425348299,9,0,0.0,2019-09-02
94,DarkTiger512,114557,125.1856146499368,6,146.49821038915786,103.87301891071576,New Entry,New Entry,New Entry,2020-02-27
95,ThaAltruist,101790,124.64914860435175,4,127.53219813913566,116.0,8,0,0.0,2019-11-13
96,DiploHippo,110004,124.13345239771029,1,124.13345239771029,None,9,0,0.0,2019-10-03
97,Dom Touche,25367,121.77008951188763,3,126.54186871268925,112.22653111028437,9,0,0.0,2019-09-03
98,Bree,112358,121.70856095641602,6,84.0,129.25027314769923,9,0,0.0,2019-12-31
99,lepardgeko,110778,121.19437291927682,2,None,121.19437291927682,9,0,0.0,2019-12-18
100,Lunarmajesty,106267,120.99008154758936,5,130.68073100688468,82.22748371040801,9,0,0.0,2019-11-06
101,nickz123,113035,120.65535576302753,10,124.72817307003058,84.0,9,0,0.0,2020-01-30
102,bubbles123,112152,120.64691005897592,7,None,120.64691005897592,9,0,0.0,2020-01-08
103,Crustyboi,109852,119.81472612746781,1,None,119.81472612746781,9,0,0.0,2019-09-28
104,maggie333,109846,119.63500216072676,1,119.63500216072676,None,9,0,0.0,2019-09-25
105,cien2004,108925,119.6169637914079,8,125.91051612403655,100.73630679352199,9,0,0.0,2019-10-01
106,Gausmanc,111074,119.3542424946321,1,119.3542424946321,None,9,0,0.0,2019-11-07
107,Pieyoko,108390,119.19142828018562,6,113.50652940330176,130.56122603395337,9,0,0.0,2020-01-18
108,KingDinoMite11,107880,118.00878705562799,6,100.0,127.013180583442,10,0,0.0,2019-10-14
109,notcoolman,110477,117.43246527369966,3,133.7805445137885,84.73630679352199,11,0,0.0,2019-11-16
110,Lea,82150,117.4296051156225,1,117.4296051156225,None,11,0,0.0,2019-11-15
111,slyshadow,113519,117.27155792605711,1,117.27155792605711,None,11,0,0.0,2020-01-21
112,delorean02,110784,116.86579862429228,1,116.86579862429228,None,11,0,0.0,2019-10-27
113,DabelDiBiBi,109464,116.82969292972066,1,116.82969292972066,None,11,0,0.0,2019-10-30
114,LeonDoe,109235,116.73630679352199,1,116.73630679352199,None,12,0,0.0,2019-09-08
115,HejDouglasjaghoppasdugillardet,109713,116.73630679352199,1,116.73630679352199,None,12,0,0.0,2019-09-20
116,PureEvil,109458,116.70246717252463,1,None,116.70246717252463,12,0,0.0,2019-09-07
