Rank,Player,PlayerID,Overall Rating,Games Played,FvA Rating,GvI Rating,ChangeRank,ChangeGames,ChangeRating,Last Game Date
1,xorxes,42435,429.42896264750556,85,475.1475740325685,336.358932327913,0,4,16.99549594592736,2017-06-18
2,CptMike,79656,425.5225795370585,237,470.88673231509665,321.5630627540545,1,52,53.58247139121329,2017-06-30
3,superkeiko,8298,385.7290536545926,143,100.27170905644918,398.23083516983974,-1,0,0.0,2017-05-13
4,SplitDiplomat,36887,333.91050316997394,70,365.68121058632886,87.68752069322306,3,10,14.674044718428547,2017-06-29
5,snowy801,82888,332.51037880693576,124,389.46701750888565,95.19105088214465,5,19,35.89072855781711,2017-07-01
6,svkrIs,83933,331.67479374861017,200,355.17355791951115,198.51513011350465,-2,3,-2.3873033856920074,2017-06-08
7,cspieker,41816,324.12997315622846,90,356.61290486962736,281.6522932233222,2,6,22.090143563605807,2017-06-29
8,stranger,41240,319.04613090939256,114,349.90478951610874,130.0368469432559,0,4,7.305104333736892,2017-06-06
9,Nealkochhar,83727,317.8707113208257,531,295.44823564129354,352.9667602105283,-3,67,-3.887515106723356,2017-06-30
10,zultar,33599,314.20983482336214,35,347.3181281773337,154.18641694583314,2,4,29.427886328459522,2017-06-29
11,michaelf77,62430,308.1295319541772,267,311.98188042595024,304.7890339786537,-6,31,-24.501121506588674,2017-06-28
12,quarryman,44661,303.0945984549896,78,345.975806098398,186.70274913716668,15,24,96.23926060502257,2017-06-30
13,Djantani,83442,286.07385998958824,43,286.07385998958824,None,-2,0,0.0,2017-05-01
14,bozotheclown,11401,282.18331124891364,36,301.60513950580133,231.68655778100552,0,1,8.150312630990868,2017-06-21
15,genghiz,64274,276.80977363446,22,276.80977363446,None,3,2,32.465216222235995,2017-06-24
16,hornetman22,83840,272.8813831419125,34,97.89091660184964,289.8159444199831,20,11,90.4915159488423,2017-06-30
17,captainmeme,41379,264.71914962093933,27,270.37529916551443,117.65926146198677,-4,4,-12.331165727841096,2017-06-25
18,ghug,37168,251.89060552421333,74,265.78153499839027,214.38509594393562,4,6,24.38405096572123,2017-06-26
19,goldfinger0303,28372,249.0967189188444,37,304.81335818644186,98.66179289633136,-3,2,-3.696714170821906,2017-06-29
20,Peregrine Falcon,51170,248.17357021145747,45,256.8669065385753,159.06687285849966,-5,2,-18.63330551657552,2017-06-05
21,Balki Bartokomous,70552,233.69413955585284,55,233.69413955585281,None,0,3,3.688043102211793,2017-06-29
22,swordsman3003,36106,232.14124655567807,36,229.93603469470088,235.60657948007082,-2,9,0.6993207776414181,2017-06-28
23,IceKingCold,76324,231.1876202294594,57,233.95824719599992,227.64121771228756,1,9,6.086170439460375,2017-06-24
24,ThorondorNL,81761,225.18197184429408,34,225.18197184429408,None,4,8,23.737862396511815,2017-06-11
25,Zybodia,22224,223.4369575882503,20,223.4369575882503,None,6,4,32.250205247296435,2017-06-27
26,josemurc,17667,220.04514811496156,25,227.70418995288173,131.96616697887927,30,10,69.74789682826312,2017-06-29
27,dagabs0,54191,217.0102546743676,26,221.05066486134228,116.0,-10,6,-35.546536258147285,2017-06-28
28,KangtheConquerer,72696,208.98385012663675,193,184.8796928695331,237.150505797859,1,2,12.599871633185188,2017-06-19
29,Yoyoyozo,65915,202.19342655641614,44,223.11342798857794,39.01741538555451,4,1,15.122967176832049,2017-06-23
30,Hellenic Riot,23172,198.61171178564933,30,204.90032903312147,110.57107032103997,-11,2,-35.494902309927824,2017-06-10
31,brkyzgn,68900,192.3248823301119,76,205.02621943579155,175.77465519240815,-8,5,-34.807182315378384,2017-06-25
32,slypups,81525,191.40373872199308,29,195.96500848460755,129.82659692669756,-2,0,0.0,2017-05-27
33,Merirosvo,20200,189.3951914706663,6,189.3951914706663,None,-1,0,0.0,2017-01-24
34,Ezio,81514,189.1535271279071,89,95.65151076302466,347.8236155046772,6,4,13.89549374073465,2017-06-08
35,seth24c,43472,189.0111830435398,9,215.1208966436284,136.79175584336258,113,8,71.88208169635833,2017-06-27
36,Mercy,45552,183.81069339059923,14,183.81069339059923,None,-1,0,0.0,2017-05-28
37,VillageIdiot,44663,180.8550550603156,15,199.51097878855902,129.5512648076463,8,2,9.786218717050446,2017-06-22
38,yassem,41088,179.9647727295421,61,139.54067278933826,224.570676111836,-1,0,0.0,2017-02-22
39,rdrivera2005,16691,179.5679588217072,29,179.5679588217072,None,-14,4,-29.583792045813055,2017-06-18
40,principians,28666,178.44025440590627,17,203.4109912246451,132.6605702382184,-1,0,0.0,2017-04-29
41,peaceinourtime,53717,175.3251226782887,346,143.1028451006133,201.47409139315613,-15,4,-32.031318089064285,2017-06-26
42,Jeff Kuta,63124,173.64418870720996,111,164.4899422381139,193.52198104010427,-4,20,-6.312964542804508,2017-06-30
43,breaca,62512,173.5488328313468,20,173.5488328313468,None,10,2,15.73721177416013,2017-06-30
44,SantaClausowitz,2497,173.4513209831686,40,174.7881895538303,121.313446727362,-3,0,0.0,2017-05-23
45,QuackkAttackk,82845,173.01671276273922,12,178.20005028662462,116.0,-3,0,0.0,2017-01-28
46,MarcosAzevedo,83236,171.70141826229016,21,117.06937238939642,212.67545266696044,-3,0,0.0,2017-04-15
47,BigBoss,69386,171.68615882625178,5,None,171.68615882625178,-3,0,0.0,2017-05-21
