Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "MadMarx"-"0", 5210, 694.100874545374, 134, 1037.22909143173, 1, 0, 0, 2018-09-07
2, "Nikola Maric Eto"-"0", 49036, 692.144632698803, 347, 707.994009011545, -1, 1, -10.031081633316, 2019-01-24
3, "Octavious"-"0", 23277, 646.071087769186, 112, 652.513306777233, 0, 0, 0, 2018-08-03
4, "SplitDiplomat"-"0", 36887, 547.465334866924, 1073, 627.042604982758, 0, 0, 0, 2018-09-15
5, "naked"-"0", 68573, 506.18398733699, 125, 514.569376819359, 0, 0, 0, 2018-10-16
6, "chluke"-"0", 49505, 455.565864066587, 101, 523.972958079804, 0, 0, 0, 2018-09-27
7, "Yonni"-"0", 33239, 430.98950969119, 101, 474.606060284085, 0, 0, 0, 2018-11-14
8, "genghiz"-"0", 64274, 420.738370331092, 209, 440.285097666623, 0, 0, 0, 2018-10-09
9, "xorxes"-"0", 42435, 411.46701032753, 168, 443.10438832593, 1, 1, 25.2623412718898, 2019-01-24
10, "MKECharlie"-"0", 23113, 406.815084718956, 37, 465.008332471105, -1, 0, 0, 2018-09-16
11, "Centurian"-"0", 6265, 385.159465300908, 97, 407.49583113964, 0, 0, 0, 2018-10-12
12, "swordsman3003"-"0", 36106, 362.88663924789, 237, 366.670897566252, 1, 4, -1.79314368669583, 2019-01-26
13, "Durga"-"0", 69557, 360.502879358089, 61, 360.502879358089, 8, 4, 42.6817708641369, 2019-01-26
14, "josemurc"-"0", 17667, 349.50706149172, 367, 392.574258820497, 0, 2, -11.6582684658864, 2019-01-05
15, "Tugster"-"0", 86502, 347.406562719102, 354, 391.982307622301, -3, 15, -19.7455939400606, 2019-01-30
16, "rokakoma"-"0", 25125, 340.892051434402, 219, 384.822926622402, -1, 0, 0, 2018-12-28
17, "Tom Bombadil"-"0", 25560, 338.437621482548, 104, 383.547222091135, -1, 0, 0, 2018-09-20
