Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "TheMasterGamer"-"0", 6454, 641.265883969211, 94, 767.034381678411, 0, 0, 0, 2009-08-17
2, "MadMarx"-"0", 5210, 513.104386377215, 51, 719.016545016583, 0, 1, -31.097235538013, 2009-09-27
3, "djbent"-"0", 11891, 500.170220237331, 44, 530.483566918382, 0, 2, -27.9871097094169, 2009-09-17
4, "Braveheart"-"0", 4010, 483.230307989508, 48, 483.230307989508, 1, 1, 7.05891041132691, 2009-09-25
5, "Jacob"-"0", 9013, 447.061593431778, 38, 452.721027486745, 1, 0, 0, 2009-08-10
6, "Rait"-"0", 950, 443.818928911993, 118, 591.229430757504, 1, 0, 0, 2009-08-01
7, "Akroma"-"0", 8566, 434.387299792993, 21, 438.414564137957, 1, 1, 21.0249964629191, 2009-09-21
8, "Ivo_ivanov"-"0", 5945, 430.775362371791, 218, 521.670466435938, -4, 5, -53.3484290676533, 2009-09-27
9, "Polar Bear"-"0", 4761, 398.885095305238, 20, 398.885095305238, 1, 0, 0, 2009-08-17
10, "bartdogg42"-"0", 11454, 385.814895118752, 36, 385.814895118752, 2, 0, 0, 2009-07-28
11, "sswang"-"0", 7490, 377.683837143713, 18, 400.573766667574, 2, 0, 0, 2009-05-02
12, "ag7433"-"0", 10347, 376.049822552087, 53, 430.501938908794, 2, 1, -1.40342993511337, 2009-09-30
13, "sean"-"0", 4029, 368.676517621486, 61, 368.676517621486, 2, 0, 0, 2009-08-17
14, "Babak"-"0", 11051, 364.060733356085, 46, 401.935044334265, 4, 3, 19.106026926531, 2009-09-19
15, "Centurian"-"0", 6265, 362.255477641688, 71, 407.49583113964, -4, 4, -25.6324779147812, 2009-09-24
16, "BESM"-"0", 6789, 362.232618881136, 98, 401.323424087514, 0, 7, -0.336249224155665, 2009-09-30
17, "V+"-"0", 10008, 357.565439832732, 35, 357.565439832732, 0, 0, 0, 2009-08-10
18, "cgwhite32"-"0", 3927, 341.968046818876, 54, 408.256246181261, 1, 0, 0, 2009-08-06
19, "laurence208y"-"0", 5965, 334.974218339103, 90, 342.019008865588, 3, 0, 0, 2009-07-06
20, "mwalton"-"0", 11329, 333.96521946057, 48, 333.96521946057, 3, 0, 0, 2009-07-06
21, "BoG75"-"0", 3514, 333.41553657382, 88, 406.389882153085, 10, 6, 20.0432558167217, 2009-09-28
22, "kostas71"-"0", 11917, 331.245418876862, 50, 331.245418876862, 30, 3, 70.4730035441207, 2009-09-14
23, "MarekP"-"0", 2560, 325.315620272223, 97, 679.792615981575, 2, 0, 0, 2009-07-31
24, "mdruskin"-"0", 5221, 323.585619538174, 13, 323.585619538174, 2, 0, 0, 2009-08-23
25, "TheGhostmaker"-"0", 2188, 320.905196043304, 47, 339.82589502524, 3, 0, 0, 2009-08-18
26, "LanGaidin"-"0", 12510, 320.598709638869, 60, 320.598709638869, 25, 7, 56.1450636383457, 2009-09-27
27, "alamothe"-"0", 2735, 320.499977535243, 78, 507.817058867348, -6, 1, -19.424241062742, 2009-09-27
28, "Dunecat"-"0", 11650, 319.591910111055, 34, 319.591910111055, 1, 0, 0, 2009-08-15
29, "flashman"-"0", 3474, 317.278427823879, 154, 494.810907850552, -9, 4, -24.3920930633992, 2009-09-15
30, "TheWizard"-"0", 10873, 315.804033498314, 44, 315.804033498314, 5, 2, 19.8960810541708, 2009-09-22
31, "Sven"-"0", 16385, 315.632119946676, 19, 326.481674011788, -1, 0, 0, 2009-08-12
32, "gryncat"-"0", 4087, 310.282364834771, 38, 314.610372188086, 0, 0, 0, 2009-08-06
33, "Silver Wolf"-"0", 7150, 309.690267618628, 114, 586.197870979097, -24, 13, -92.8429926570466, 2009-09-27
34, "grncton"-"0", 14641, 307.933297111689, 16, 307.933297111689, -1, 0, 0, 2009-07-09
35, "Noirin"-"0", 1824, 307.776500546546, 55, 400.542344670924, -11, 2, -18.6453875346063, 2009-09-24
36, "BigZombieDude"-"0", 15832, 306.964061922681, 22, 306.964061922681, 12, 3, 37.975142913076, 2009-09-24
37, "el_maestro"-"0", 5046, 304.125961658321, 31, 339.700844306493, -10, 1, -17.0094853589861, 2009-09-14
38, "nitish"-"0", 6105, 295.663301584598, 22, 295.663301584598, -2, 0, 0, 2009-06-06
39, "FloatingLakes"-"0", 13890, 294.870097846105, 49, 318.716131377669, -5, 1, -8.77327465336248, 2009-09-09
40, "cyrius"-"0", 13255, 291.328929762492, 57, 317.052634049019, -2, 0, 0, 2009-06-25
41, "Darwyn"-"0", 3410, 290.870364623836, 46, 308.498871570735, -2, 0, 0, 2009-08-06
42, "yeunghauyip"-"0", 2962, 290.393769164286, 21, 290.393769164286, -2, 0, 0, 2009-07-11
43, "stratagos"-"0", 8290, 288.806911600442, 73, 301.274141341435, 1, 1, 8.64851838473453, 2009-09-29
44, "xgongiveit2ya55"-"0", 5385, 286.411178095679, 54, 366.009359021672, -3, 0, 0, 2009-04-30
45, "Feanor"-"0", 6718, 281.545811563502, 56, 312.319662519822, -3, 0, 0, 2009-08-18
