Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "sswang"-"0", 7490, 313.037981041303, 12, 313.037981041303, 1, 2, 77.645748278613, 2009-03-22
2, "MadMarx"-"0", 5210, 294.021644642809, 15, 294.021644642809, -1, 0, 0, 2009-02-04
3, "Spartan 00256"-"0", 6559, 202.7059507343, 3, 202.7059507343, 1, 0, 0, 2008-11-13
4, "xgongiveit2ya55"-"0", 5385, 191.277648368267, 18, 213.668018931223, -1, 1, -11.5925847495919, 2009-03-18
5, "Braveheart"-"0", 4010, 189.269657007001, 16, 212.906638965634, 0, 0, 0, 2009-02-12
6, "Silver Wolf"-"0", 7150, 184.714743514827, 6, 184.714743514827, 389, 4, 95.8167843311535, 2009-03-26
7, "Akroma"-"0", 8566, 183.044772207387, 3, 183.044772207387, 0, 1, 2.38138780359043, 2009-03-21
8, "Gary"-"0", 7014, 179.183216115239, 3, 179.183216115239, 0, 0, 0, 2009-01-30
9, "mapleleaf"-"1", 3959, 176.682810364637, 21, 204.836267971888, -3, 2, -9.25099937654852, 2009-03-17
10, "stratagos"-"0", 8290, 172.444098681312, 14, 172.444098681312, 2, 1, 7.00319582178031, 2009-03-16
11, "Babak"-"0", 11051, 172.209694602029, 5, 182.646645790031, 11, 3, 31.9996656240562, 2009-03-19
12, "DingleberryJones"-"0", 8019, 170.464421832656, 7, 184.031692118338, -1, 1, 3.28887377384925, 2009-03-06
13, "TheMasterGamer"-"0", 6454, 167.993354978987, 7, 178.174770432259, -4, 1, -10.181415453272, 2009-03-21
14, "cgwhite32"-"0", 3927, 159.992405190385, 14, 166.403237509911, -1, 1, 3.0979241096118, 2009-03-18
15, "djbent"-"0", 11891, 156.197930240059, 5, 167.907265559467, -5, 3, -11.7093353194074, 2009-03-30
16, "MarekP"-"0", 2560, 153.373667873729, 19, 232.553856069141, 3, 2, 10.1531959291702, 2009-03-29
17, "Bazin"-"0", 4633, 151.958883798417, 4, 161.168513119534, -3, 0, 0, 2008-12-27
18, "Jacob"-"0", 9013, 148.214741429989, 4, 148.214741429989, 0, 1, 4.6373392527988, 2009-03-06
19, "NevilleChamberlain"-"0", 6800, 145.47911255939, 6, 163.647302924934, -3, 0, 0, 2008-12-29
