Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "Barn3tt"-"0", 20728, 372.88902338372, 418, 373.486540921079, 0, 9, 21.9869260743739, 2012-04-27
2, "SplitDiplomat"-"0", 36887, 302.039669758041, 290, 308.372467243971, 0, 75, 60.8749765836463, 2012-04-30
3, "Sargmacher"-"1", 32304, 241.449897526974, 276, 267.663898450647, 1, 49, 3.94659498933308, 2012-04-28
4, "jmeyersd"-"0", 21355, 235.150427936677, 260, 235.150427936677, 1, 4, 4.4522909316282, 2012-04-22
5, "The Czech"-"0", 17724, 234.96925342475, 885, 274.240716179333, -2, 49, -3.52071727664284, 2012-04-30
6, "NoFog"-"0", 38917, 202.659305691945, 57, 202.659305691945, 0, 8, 11.2519760243016, 2012-04-28
7, "V+"-"0", 10008, 192.754145680748, 71, 192.754145680748, Re-Entry, Re-Entry, Re-Entry, 2012-04-18
8, "jc"-"0", 19515, 190.753377107181, 60, 190.974561714473, -1, 1, -0.221184607291804, 2012-04-15
9, "rokakoma"-"0", 25125, 171.815552830224, 99, 181.250368828224, 0, 20, 1.95624803231351, 2012-04-30
10, "Lando Calrissian"-"0", 19131, 167.141634198328, 704, 204.783649930518, -2, 31, -18.1088309777862, 2012-04-29
11, "CSteinhardt"-"0", 43811, 166.556000595794, 37, 166.556000595794, New Entry, New Entry, New Entry, 2012-04-30
12, "caesar101dog"-"1", 15955, 165.16841155766, 151, 201.067323590746, -2, 5, -3.02414057346633, 2012-04-27
13, "EmmaGoldwoman"-"0", 28055, 165.149363459602, 57, 165.149363459602, -2, 0, 0, 2012-01-06
14, "justinnhoo"-"0", 23444, 164.726417955529, 104, 169.630657087266, -2, 0, 0, 2012-01-04
15, "DILK"-"0", 34961, 162.356422762308, 83, 164.709414396545, 11, 6, 11.0179267243161, 2012-04-29
16, "thatwasawkward"-"0", 23496, 161.566737338766, 128, 170.180584673023, 1, 10, 4.48610913140763, 2012-04-27
17, "josemurc"-"0", 17667, 160.419865516091, 51, 160.419865516091, 3, 2, 5.40385136451093, 2012-04-16
18, "Troodonte"-"0", 12416, 160.311237313785, 80, 160.311237313785, 17, 5, 15.4731697385052, 2012-04-29
19, "Babak"-"0", 11051, 159.746525745196, 38, 162.061692784982, -6, 0, 0, 2012-03-31
20, "President Eden"-"0", 25958, 157.602630182058, 138, 160.411016056095, -2, 10, 1.00427971030342, 2012-04-27
21, "skoczek86"-"0", 30731, 156.645630247366, 56, 159.345318173099, -6, 3, -2.20964716498395, 2012-04-14
22, "indianajones"-"0", 25159, 156.359679474638, 106, 158.625761785865, 51, 13, 30.6054515107832, 2012-04-30
23, "giorgio."-"0", 23621, 155.706611500269, 56, 160.078272205702, -4, 1, 0.645272176808248, 2012-04-01
24, "undercover"-"0", 32279, 155.016593730843, 38, 155.016593730843, -2, 8, 0.835210802781518, 2012-04-29
25, "Dudlajz"-"0", 18554, 153.874417188367, 98, 164.908008293473, -11, 6, -5.0882660253304, 2012-04-30
26, "2ndWhiteLine"-"0", 37127, 153.583894141759, 72, 158.171122026046, 13, 13, 11.7849210300488, 2012-04-28
27, "stephan"-"0", 10260, 152.654653540383, 266, 160.797016261359, 32, 32, 18.3053724979542, 2012-04-29
28, "gramilaj"-"0", 29238, 152.283165744543, 93, 163.921746729248, -4, 0, 0, 2011-12-02
29, "SohDjinn"-"0", 17679, 152.100218754865, 151, 162.813519414217, -13, 7, -5.18935739745982, 2012-04-29
30, "Vaftrudner"-"0", 17380, 150.364512675807, 120, 165.415411216809, 16, 37, 12.5826091499301, 2012-04-29
31, "frenchtourist"-"0", 18901, 148.892961313076, 51, 153.247174967124, 0, 0, 0, 2012-03-19
