Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "fetteper"-"0", 19520, 340.570420423268, 66, 350.587197494541, 2, 16, 82.9418414681046, 2010-01-25
2, "dave bishop"-"0", 18322, 331.895421838692, 32, 357.111894380674, -1, 4, 44.7485403280143, 2010-01-25
3, "raapers"-"0", 21258, 306.667219618929, 60, 315.398458875902, 87, 40, 188.479244455481, 2010-01-31
4, "Bearnstien"-"1", 17706, 276.358782112253, 15, 276.358782112253, -2, 0, 0, 2009-12-02
5, "DerekHarland"-"0", 18579, 268.457939870356, 52, 289.978593623672, -1, 6, 12.295182819462, 2010-01-12
6, "Sendler"-"0", 12846, 247.327818071414, 42, 262.421688131541, 5, 18, 48.1048280959818, 2010-01-24
7, "SEcki"-"0", 18993, 233.508551574577, 52, 245.680408268862, 492, 50, 136.775401070086, 2010-01-31
8, "notoriousmjf"-"1", 19366, 232.089762495302, 33, 232.089762495302, 9, 10, 63.577882872791, 2010-01-15
9, "Ironman"-"1", 18493, 228.229700167916, 15, 235.20761655367, -3, 0, 0, 2009-12-17
10, "masterninja"-"1", 19730, 226.486306781086, 31, 226.486306781086, -3, 0, 0, 2009-12-12
11, "Dudlajz"-"0", 18554, 217.671425374847, 26, 218.707234283229, -2, 0, 0, 2009-12-10
12, "ottovanbis"-"1", 14920, 217.404539971407, 46, 239.42609797624, -7, 13, -17.9781969348014, 2010-01-31
13, "Barn3tt"-"0", 20728, 214.961330453186, 65, 214.961330453186, 56, 24, 90.3700069417353, 2010-01-28
14, "Noob179"-"0", 19657, 212.067728376174, 30, 224.74395100394, -6, 9, -9.78326902900065, 2010-01-31
15, "Yakoska"-"0", 21093, 208.78745779511, 29, 209.265415787638, New Entry, New Entry, New Entry, 2010-01-30
16, "Serioussham"-"0", 16966, 208.252066699235, 17, 210.299768885465, -4, 4, 13.7526875527689, 2010-01-31
17, "doofman"-"0", 19705, 199.5033257045, 53, 224.567992882425, -7, 2, -8.8208981236503, 2010-01-26
18, "`ZaZaMaRaNDaBo`"-"0", 16392, 186.59499061513, 32, 214.091597128679, -2, 11, 16.6535322343246, 2010-01-26
19, "Stupendous Man"-"1", 20970, 181.599729643414, 11, 192.903139615913, 7, 7, 34.7175884455025, 2010-01-20
20, "Jakooli"-"0", 19670, 177.754953051767, 27, 190.069159321776, 75, 12, 60.3784422572977, 2010-01-17
21, "general"-"0", 10093, 177.408932178195, 34, 177.408932178195, -2, 10, 16.2182218885519, 2010-01-24
22, "uclabb"-"0", 5775, 177.042427816618, 4, 177.042427816618, -8, 0, 0, 2009-12-28
23, "Estonian"-"0", 20990, 176.48041174818, 8, 176.48041174818, -8, 0, 0, 2009-12-24
24, "Gobba"-"0", 21431, 171.083823243999, 67, 181.02957186169, 446, 62, 73.8641838835391, 2010-01-31
25, "Bilbo"-"0", 12259, 170.512393991755, 27, 183.922386295649, -12, 4, -10.7630103474824, 2010-01-25
26, "DeathKorps"-"0", 19899, 164.385193153047, 22, 172.38038810749, 38, 9, 36.5398010936823, 2010-01-21
27, "Iceray0"-"0", 18843, 161.514877103087, 27, 161.514877103087, 1, 4, 17.6468411555373, 2010-01-31
28, "Patyrsun"-"1", 20789, 160.947675614804, 23, 160.947675614804, 57, 20, 41.2212604828283, 2010-01-26
29, "Gary"-"0", 7014, 160.180828046356, 23, 162.502289322391, 4, 9, 20.8287185408673, 2010-01-27
30, "blackbelt614"-"0", 8802, 159.872287267227, 18, 178.110261536611, -10, 0, 0, 2009-12-25
31, "benjormungand"-"0", 20297, 159.322854362507, 7, 159.322854362507, 288, 4, 58.3859799467312, 2010-01-19
32, "zrallo"-"0", 2462, 158.19699121738, 50, 165.740611140478, -7, 11, 11.0091508598145, 2010-01-31
33, "jeromeblack"-"0", 21206, 158.000609140517, 67, 158.000609140517, 1022, 36, 98.4276119944101, 2010-01-31
34, "Prosperity"-"1", 19152, 155.686511078194, 5, 155.686511078194, -7, 1, 9.87764134315518, 2010-01-31
35, "Rooster Man"-"1", 18450, 155.233021321336, 21, 196.266859584092, -14, 3, -2.78723798592094, 2010-01-14
36, "exploding5heep"-"0", 20225, 154.176779089726, 11, 187.971009355958, 480, 9, 57.9598551754772, 2010-01-20
37, "curtis"-"0", 18233, 154.133774985069, 67, 162.997860068882, 54, 27, 36.2754885626066, 2010-01-31
38, "Stany"-"0", 20755, 153.928976423461, 20, 164.359916389539, -20, 4, -10.4309399660788, 2010-01-31
39, "patizcool"-"0", 20139, 150.179655474959, 12, 153.787431842851, -17, 0, 0, 2009-12-17
40, "jireland20"-"1", 17396, 149.515922518059, 39, 160.971228438371, 18, 1, 18.4463540156292, 2010-01-31
41, "22.rhathaway"-"0", 21472, 149.380718994408, 7, 149.380718994408, 13, 2, 16.9642750421418, 2010-01-02
42, "branigan.wddp"-"0", 21112, 148.656067473976, 2, 148.656067473976, -19, 0, 0, 2009-12-22
43, "Geofram"-"0", 14799, 147.251085846309, 21, 160.845361058484, -19, 0, 0, 2009-12-02
44, "jimgov"-"0", 21601, 147.05469973122, 25, 147.05469973122, New Entry, New Entry, New Entry, 2010-01-31
45, "P.P.A."-"0", 16226, 146.779337446674, 5, 146.779337446674, -15, 1, 5.0733104586827, 2010-01-04
46, "Obscurity"-"0", 13217, 146.221916354328, 7, 146.221916354328, 21, 3, 21.2154378823029, 2010-01-29
47, "sllippi"-"0", 20087, 146.134149078241, 8, 146.134149078241, 18, 2, 20.109144768863, 2010-01-18
48, "TaiwanPanda"-"0", 18856, 142.948887251459, 14, 142.948887251459, -19, 0, 0, 2009-12-18
49, "frito"-"0", 20552, 142.869993402587, 16, 155.811663647096, -14, 2, 4.35660425018938, 2010-01-15
50, "gordonpup"-"0", 9016, 142.265024352715, 14, 154.721268862673, 940, 7, 60.3228351092757, 2010-01-31
51, "Jerkface"-"0", 4699, 141.662551307352, 6, 148.860862600196, -19, 1, 0.764021949646803, 2010-01-23
52, "jcbryan97"-"0", 20896, 140.986876309, 41, 163.006607026015, 45, 20, 23.6497509203824, 2010-01-27
53, "Attavior"-"0", 15485, 140.788971639406, 6, 143.318909392647, -22, 2, -0.884814795244353, 2010-01-03
54, "mat cauthon"-"0", 20806, 139.478595830359, 76, 148.249719559598, 929, 30, 57.051559070456, 2010-01-31
55, "moses"-"0", 21790, 139.300845277528, 25, 155.666456334092, New Entry, New Entry, New Entry, 2010-01-31
56, "Fluorspar"-"0", 18266, 139.112364957934, 2, 139.112364957934, -22, 0, 0, 2009-11-25
